"","Id","Name","Year","Gender","Count"
"30",30,"Rose",1880,"F",700
"31",31,"Catherine",1880,"F",688
"159",159,"Sophie",1880,"F",83
"458",458,"June",1880,"F",14
"1603",1603,"June",1880,"M",9
"1738",1738,"Rose",1880,"M",7
"2031",2031,"Rose",1881,"F",734
"2040",2040,"Catherine",1881,"F",635
"2171",2171,"Sophie",1881,"F",78
"2423",2423,"June",1881,"F",16
"3513",3513,"June",1881,"M",10
"3963",3963,"Rose",1882,"F",886
"3977",3977,"Catherine",1882,"F",726
"4090",4090,"Sophie",1882,"F",110
"4319",4319,"June",1882,"F",22
"5525",5525,"June",1882,"M",12
"6095",6095,"Rose",1883,"F",877
"6098",6098,"Catherine",1883,"F",853
"6226",6226,"Sophie",1883,"F",103
"6443",6443,"June",1883,"F",24
"7962",7962,"June",1883,"M",6
"8133",8133,"Rose",1883,"M",5
"8176",8176,"Rose",1884,"F",1060
"8189",8189,"Catherine",1884,"F",874
"8309",8309,"Sophie",1884,"F",120
"8440",8440,"June",1884,"F",43
"9957",9957,"June",1884,"M",10
"10102",10102,"Catherine",1884,"M",7
"10415",10415,"Rose",1884,"M",5
"10468",10468,"Rose",1885,"F",1164
"10488",10488,"Catherine",1885,"F",846
"10608",10608,"Sophie",1885,"F",125
"10788",10788,"June",1885,"F",34
"12328",12328,"Rose",1885,"M",9
"12376",12376,"June",1885,"M",8
"12763",12763,"Rose",1886,"F",1261
"12782",12782,"Catherine",1886,"F",916
"12889",12889,"Sophie",1886,"F",156
"13110",13110,"June",1886,"F",33
"14606",14606,"June",1886,"M",11
"14964",14964,"Rose",1886,"M",6
"15159",15159,"Rose",1887,"F",1242
"15173",15173,"Catherine",1887,"F",967
"15295",15295,"Sophie",1887,"F",149
"15583",15583,"June",1887,"F",25
"16967",16967,"June",1887,"M",12
"17332",17332,"Rose",1887,"M",6
"17388",17388,"Catherine",1887,"M",5
"17529",17529,"Rose",1888,"F",1590
"17544",17544,"Catherine",1888,"F",1212
"17671",17671,"Sophie",1888,"F",171
"17843",17843,"June",1888,"F",50
"19650",19650,"June",1888,"M",10
"19722",19722,"Rose",1888,"M",9
"19917",19917,"Catherine",1888,"M",6
"20179",20179,"Rose",1889,"F",1550
"20195",20195,"Catherine",1889,"F",1198
"20325",20325,"Sophie",1889,"F",172
"20492",20492,"June",1889,"F",54
"22252",22252,"Rose",1889,"M",11
"22482",22482,"June",1889,"M",7
"22768",22768,"Rose",1890,"F",1725
